distance,season,season_week,year,winlose,week,weekday,hour,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
0.1956346320404364,2012,34,2013,0,21,1,20,MEM,SAS,89,93,-4,5.0,0,52,200.0,-220.0,181.0,181.0,51,51
0.19667516499558635,2013,27,2014,1,14,1,19,GSW,DAL,122,120,2,5.0,1,52,185.0,-200.0,206.5,206.5,46,42
0.19699541419361982,2013,31,2014,0,18,2,18,DAL,SAS,103,109,-6,6.5,0,60,255.0,-280.0,197.0,197.0,54,57
0.19724012125054532,2013,30,2014,1,17,0,19,MEM,OKC,111,105,6,7.0,1,54,290.0,-320.0,190.0,190.0,43,61
0.1995788464415881,2014,28,2015,0,15,2,19,HOU,SAS,98,110,-12,6.5,0,49,230.0,-270.0,204.5,204.5,48,47
0.19980683185220485,2014,32,2015,0,19,2,20,LAC,HOU,109,115,-6,8.0,0,49,325.0,-400.0,214.5,214.5,56,55
0.19983786214872384,2014,29,2015,0,16,0,18,ORL,MIA,93,100,-7,6.0,0,52,205.0,-245.0,198.0,198.0,50,52
0.20082644606610156,2012,28,2013,0,15,1,21,NOP,LAL,96,104,-8,8.5,0,47,375.0,-420.0,193.5,193.5,39,50
0.20371875599399564,2015,29,2016,0,16,2,21,POR,LAC,81,102,-21,8.5,0,49,335.0,-420.0,210.5,210.5,47,45
0.2045665557983925,2014,26,2015,0,13,1,21,PHI,SAC,106,107,-1,8.5,0,50,335.0,-420.0,206.5,206.5,41,37
0.20583390026375026,2014,33,2015,0,20,2,19,WAS,ATL,81,82,-1,7.0,0,57,255.0,-310.0,200.5,200.5,55,50
0.20657501308228768,2012,29,2013,0,16,2,19,WAS,CHI,92,95,-3,8.5,0,51,380.0,-430.0,186.0,186.0,52,37
0.20848278831592804,2013,28,2014,0,15,2,18,DET,CLE,100,122,-22,7.0,0,48,255.0,-280.0,207.5,207.5,44,39
0.20918717043963728,2015,31,2016,0,18,2,19,ATL,CLE,98,123,-25,7.0,0,46,290.0,-350.0,196.0,196.0,43,42
0.20979327572766898,2013,30,2014,0,17,1,18,BKN,TOR,95,100,-5,5.0,0,48,185.0,-200.0,190.5,190.5,40,48
0.21121597972963596,2015,24,2016,0,11,1,18,PHI,BKN,114,131,-17,7.5,0,48,300.0,-330.0,212.5,212.5,57,55
0.2116642133889595,2014,32,2015,0,19,2,18,CHI,CLE,91,106,-15,5.5,0,50,225.0,-245.0,194.5,194.5,53,58
0.21182934260465863,2013,29,2014,1,16,2,19,LAL,SAS,113,100,13,9.0,1,50,375.0,-420.0,217.0,217.0,49,50
0.21320271475134428,2014,29,2015,1,16,2,19,BOS,MIL,105,100,5,5.5,1,51,205.0,-225.0,198.0,198.0,49,34
0.21381233041945064,2013,30,2014,0,17,0,21,GSW,LAC,98,138,-40,8.0,0,56,335.0,-375.0,212.5,212.5,62,53
0.21447584837975914,2015,33,2016,1,20,0,20,OKC,GSW,108,102,6,7.5,1,50,320.0,-390.0,225.0,225.0,46,46
0.21558076236286897,2014,29,2015,0,16,2,19,POR,DAL,98,114,-16,6.0,0,47,205.0,-245.0,208.5,208.5,46,41
0.21584144761806415,2015,28,2016,0,15,2,19,ORL,CHA,103,117,-14,7.5,0,46,290.0,-350.0,211.0,211.0,43,81
0.21813637582544257,2015,27,2016,0,14,1,19,DET,MIA,89,107,-18,4.5,0,47,160.0,-185.0,202.0,202.0,54,50
0.21896443567197577,2013,29,2014,1,16,2,19,PHI,MIA,100,87,13,5.5,1,46,205.0,-225.0,207.0,207.0,53,50
0.21947652138620047,2014,26,2015,1,13,2,18,MIA,BOS,93,86,7,8.0,1,51,300.0,-360.0,198.5,198.5,55,52
0.2210904558891767,2013,30,2014,1,17,1,20,WAS,CHI,101,99,2,5.0,1,43,190.0,-210.0,180.5,180.5,40,43
0.2223020886308976,2015,25,2016,0,12,1,19,HOU,OKC,107,111,-4,9.0,0,52,380.0,-475.0,226.5,226.5,51,58
0.22410351584274205,2013,27,2014,0,14,2,21,LAL,SAC,102,107,-5,8.0,0,45,315.0,-345.0,218.5,218.5,45,50
0.225013496894529,2015,28,2016,1,15,0,21,SAC,PHX,105,101,4,6.0,1,47,200.0,-240.0,218.0,218.0,58,49
0.2256028761313811,2013,29,2014,0,16,0,21,MIN,GSW,120,130,-10,7.5,0,52,310.0,-340.0,211.5,211.5,39,50
0.225739534311072,2013,28,2014,0,15,2,18,BOS,ATL,97,105,-8,7.0,0,51,280.0,-310.0,204.0,204.0,64,50
0.22789072357357654,2013,27,2014,0,14,0,18,TOR,MIA,83,93,-10,6.0,0,46,220.0,-240.0,192.0,192.0,49,50
0.2282208253281556,2012,29,2013,0,16,2,19,BOS,TOR,90,114,-24,6.0,0,52,200.0,-220.0,195.0,195.0,61,31
0.2296605704937818,2015,27,2016,0,14,2,21,OKC,POR,115,120,-5,8.0,0,43,280.0,-340.0,213.5,213.5,59,41
0.23014105701805063,2013,32,2014,1,19,0,20,LAC,OKC,122,105,17,5.5,1,49,205.0,-225.0,213.5,213.5,46,47
0.23026513918469477,2012,30,2013,0,17,2,18,ATL,IND,98,113,-15,7.0,0,52,280.0,-310.0,187.0,187.0,38,38
0.23114193128149596,2013,30,2014,1,17,2,20,POR,HOU,112,105,7,6.5,1,42,255.0,-280.0,215.0,215.0,42,50
0.23140383078689605,2013,26,2014,0,13,0,19,MIN,MEM,92,109,-17,7.5,0,45,295.0,-325.0,199.0,199.0,57,50
0.2328234294011422,2015,28,2016,1,15,0,18,CHA,BOS,114,100,14,7.0,1,47,250.0,-300.0,210.0,210.0,40,44
0.2337312201267793,2015,31,2016,1,18,1,19,MIA,TOR,102,96,6,3.5,1,54,145.0,-165.0,192.0,192.0,51,44
0.23551993095675,2016,30,2017,0,17,1,20,UTA,LAC,0,0,0,3.5,0,57,150.0,-160.0,493.0,493.0,53,33
0.23636081168893894,2015,31,2016,0,18,1,21,POR,GSW,99,110,-11,9.0,0,48,400.0,-500.0,212.0,212.0,38,42
0.23651832701709327,2014,24,2015,0,11,1,18,ORL,IND,86,118,-32,8.5,0,47,340.0,-380.0,187.0,187.0,44,50
0.2369863867461886,2012,27,2013,0,14,2,18,DET,BOS,93,98,-5,7.0,0,48,255.0,-280.0,197.0,197.0,41,50
0.2372646099563523,2015,25,2016,1,12,0,19,WAS,ATL,117,102,15,7.0,1,51,265.0,-295.0,208.5,208.5,52,54
0.23761881975869698,2014,27,2015,0,14,2,18,DET,CHA,78,102,-24,5.5,0,53,180.0,-220.0,196.0,196.0,52,63
0.23792498260182388,2012,26,2013,0,13,2,19,DEN,SAS,99,100,-1,6.5,0,44,248.0,-270.0,209.0,209.0,49,50
0.2380469825567923,2014,29,2015,0,16,0,21,MEM,GSW,107,111,-4,8.5,0,43,315.0,-380.0,196.5,196.5,41,29
0.23927742028905793,2013,29,2014,0,16,2,19,BKN,CLE,85,114,-29,8.5,0,42,340.0,-380.0,197.5,197.5,42,50
0.24108556154527025,2015,32,2016,0,19,2,19,MIA,TOR,91,99,-8,5.0,0,55,175.0,-210.0,189.0,189.0,54,48
0.2417468421130348,2012,26,2013,1,13,2,19,IND,HOU,100,91,9,6.0,1,49,205.0,-225.0,197.5,197.5,51,50
0.2423450176477065,2012,30,2013,0,17,0,21,MEM,LAC,91,93,-2,6.0,0,53,220.0,-240.0,180.5,180.5,39,48
0.24507200727970999,2014,25,2015,0,12,2,21,ATL,GSW,95,114,-19,7.0,0,48,260.0,-290.0,207.5,207.5,48,47
