Date,Team,Team_SP,Opp,Opp_SP,Bet_Length,Bet_Type,Line_Move_Time,Over_Under,Line,Odds
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 04:55 PM,,,-128
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 04:55 PM,,,+118
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 07:34 AM,,,-130
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 07:34 AM,,,+120
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 08:07 AM,,,-128
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 08:07 AM,,,+118
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 10:18 AM,,,-132
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 10:18 AM,,,+122
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 10:52 AM,,,-134
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 10:52 AM,,,+124
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 10:56 AM,,,-137
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 10:56 AM,,,+126
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 11:12 AM,,,-140
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:12 AM,,,+129
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 11:38 AM,,,-142
