SAM,WIS,-0.7
WIS,SAM,0.7
SDAK,NEOM,0.4
NEOM,SDAK,-0.4
VALP,MURR,0.3
MURR,VALP,-0.3
GAST,GASO,0.3
GASO,GAST,-0.3
OAK,IUPU,1.0
IUPU,OAK,-1.0
IPFW,WIU,0.9
WIU,IPFW,-0.9
IPFW,WIU,0.9
WIU,IPFW,-0.9
IPFW,WIU,0.9
WIU,IPFW,-0.9
UNCO,SUU,-0.3
SUU,UNCO,0.3
CHS,OSU,-0.2
OSU,CHS,0.2
ILST,INST,0.4
INST,ILST,-0.4
PRIN,AKR,0.6
AKR,PRIN,-0.6
TULN,ALA,0.3
ALA,TULN,-0.3
UNI,WICH,-0.6
WICH,UNI,0.6
SIU,MOSU,0.4
MOSU,SIU,-0.4
DAY,USC,-1.0
USC,DAY,1.0
WOF,UVA,-0.5
UVA,WOF,0.5
CAN,DET,-0.6
DET,CAN,0.6
EKY,WVU,0.0
WVU,EKY,-0.0
FUR,SMU,0.6
SMU,FUR,-0.6
L-MD,MEM,-0.9
MEM,L-MD,0.9
CIN,PITT,0.0
PITT,CIN,-0.0
MSU,MINN,0.0
MINN,MSU,-0.0
DART,BC,0.0
BC,DART,-0.0
BGSU,TEM,0.6
TEM,BGSU,-0.6
DEN,UTA,0.9
UTA,DEN,-0.9
SJSU,UTSA,-1.0
UTSA,SJSU,1.0
IND,IOWA,-0.3
IOWA,IND,0.3
IND,IOWA,-0.3
IOWA,IND,0.3
IND,IOWA,-0.3
IOWA,IND,0.3
USU,TXST,0.9
TXST,USU,-0.9
GONZ,OKST,-0.9
OKST,GONZ,0.9
NEV,ORE,0.3
ORE,NEV,-0.3
UNM,SLU,-0.6
SLU,UNM,0.6
UNT,MTU,0.0
MTU,UNT,-0.0
NMSU,LT,0.0
LT,NMSU,-0.0
UNCG,NCST,1.0
NCST,UNCG,-1.0
IONA,SBON,0.2
SBON,IONA,-0.2
RID,DEL,-0.9
DEL,RID,0.9
COFC,MRST,-0.6
MRST,COFC,0.6
UMKC,NEOM,0.6
NEOM,UMKC,-0.6
SDAK,KSU,-0.4
KSU,SDAK,0.4
JVST,UTM,-0.1
UTM,JVST,0.1
CCSU,SYR,0.3
SYR,CCSU,-0.3
YALE,ISU,1.0
ISU,YALE,-1.0
HOF,FAU,0.3
FAU,HOF,-0.3
CONN,MARQ,0.3
MARQ,CONN,-0.3
IUPU,MD,0.6
MD,IUPU,-0.6
CIT,CLEM,0.9
CLEM,CIT,-0.9
EMU,UK,-0.3
UK,EMU,0.3
KENT,CLEV,0.6
CLEV,KENT,-0.6
NEB,OSU,0.0
OSU,NEB,-0.0
PROV,LOU,0.3
LOU,PROV,-0.3
RUTG,SYR,-0.1
SYR,RUTG,0.1
TOWS,UNCW,-0.6
UNCW,TOWS,0.6
DREX,GAST,-0.2
GAST,DREX,0.2
MASS,M-OH,-0.3
M-OH,MASS,0.3
XAV,WAKE,-0.1
WAKE,XAV,0.1
AFA,RICH,-0.1
RICH,AFA,0.1
PENN,BUT,-0.1
BUT,PENN,0.1
L-IL,VALP,0.0
VALP,L-IL,-0.0
CREI,ILST,-0.2
ILST,CREI,0.2
BUFF,TLSA,-0.2
TLSA,BUFF,0.2
WICH,DRKE,0.4
DRKE,WICH,-0.4
INST,UNI,-0.6
UNI,INST,0.6
BRAD,SIU,-0.8
SIU,BRAD,0.8
MOSU,EVAN,1.0
EVAN,MOSU,-1.0
WYO,SMU,0.0
SMU,WYO,-0.0
BSU,UTA,-0.6
UTA,BSU,0.6
FSU,AUB,0.0
AUB,FSU,-0.0
WM,VAN,0.1
VAN,WM,-0.1
USF,UCF,-0.3
UCF,USF,0.3
YSU,UIC,0.6
UIC,YSU,-0.6
ILL,PUR,0.8
PUR,ILL,-0.8
HALL,DEP,-0.9
DEP,HALL,0.9
LAS,MIA,-0.9
MIA,LAS,0.9
UTEP,CSU,0.4
CSU,UTEP,-0.4
SF,SCU,0.1
SCU,SF,-0.1
UTAH,ASU,-0.4
ASU,UTAH,0.4
CHAT,GT,0.7
GT,CHAT,-0.7
DAV,DUKE,0.3
DUKE,DAV,-0.3
GASO,UAB,0.0
UAB,GASO,-0.0
PSU,WIS,-0.2
WIS,PSU,0.2
GB,WRST,-0.4
WRST,GB,0.4
NE,GMU,-0.2
GMU,NE,0.2
MILW,DET,0.3
DET,MILW,-0.3
MICH,NW,0.3
NW,MICH,-0.3
COLO,ARIZ,-0.6
ARIZ,COLO,0.6
TROY,UNT,0.1
UNT,TROY,-0.1
MTU,ARST,0.0
ARST,MTU,-0.0
WKU,UALR,0.7
UALR,WKU,-0.7
USA,ULM,-0.5
ULM,USA,0.5
LMU,BYU,0.3
BYU,LMU,-0.3
TXST,DEN,0.7
DEN,TXST,-0.7
UTSA,NMSU,-0.4
NMSU,UTSA,0.4
SEA,USU,0.3
USU,SEA,-0.3
GONZ,PEPP,0.3
PEPP,GONZ,-0.3
STAN,USC,1.0
USC,STAN,-1.0
IDHO,SJSU,0.0
SJSU,IDHO,-0.0
UCI,UCSB,-0.4
UCSB,UCI,0.4
LBSU,CP,-0.7
CP,LBSU,0.7
UCRV,CSN,0.7
CSN,UCRV,-0.7
PORT,USD,0.0
USD,PORT,-0.0
CAL,UCLA,-0.2
UCLA,CAL,0.2
CSF,HAW,-1.0
HAW,CSF,1.0
NEOM,OAK,0.3
OAK,NEOM,-0.3
SIUE,MORE,-0.3
MORE,SIUE,0.3
EIU,EKY,0.6
EKY,EIU,-0.6
FAIR,CAN,0.3
CAN,FAIR,-0.3
MRST,NIAG,0.0
NIAG,MRST,-0.0
TNST,TNTC,0.1
TNTC,TNST,-0.1
MURR,UTM,-0.7
UTM,MURR,0.7
PEAY,SEMO,-0.4
SEMO,PEAY,0.4
NDSU,SDAK,0.6
SDAK,NDSU,-0.6
NDSU,SDAK,0.6
SDAK,NDSU,-0.6
NDSU,SDAK,0.6
SDAK,NDSU,-0.6
BEL,JVST,-0.6
JVST,BEL,0.6
SAC,NAU,-0.3
NAU,SAC,0.3
EWU,MONT,-0.5
MONT,EWU,0.5
PRST,MTST,0.5
MTST,PRST,-0.5
UNCO,WEB,0.7
WEB,UNCO,-0.7
UND,IDST,-0.4
IDST,UND,0.4
CHS,UNLV,0.3
UNLV,CHS,-0.3
GW,UGA,0.3
UGA,GW,-0.3
BRWN,URI,0.0
URI,BRWN,-0.0
CLEV,VALP,0.3
VALP,CLEV,-0.3
MEM,TENN,0.0
TENN,MEM,-0.0
FOR,MISS,0.0
MISS,FOR,-0.0
IONA,SIE,-0.7
SIE,IONA,0.7
RID,L-MD,-0.3
L-MD,RID,0.3
WOF,TULN,0.0
TULN,WOF,-0.0
PITT,RUTG,0.4
RUTG,PITT,-0.4
VT,MD,0.1
MD,VT,-0.1
PUR,MSU,-0.1
MSU,PUR,0.1
HALL,ND,0.2
ND,HALL,-0.2
DEL,ODU,0.0
ODU,DEL,-0.0
WAKE,DUKE,0.4
DUKE,WAKE,-0.4
UNCW,NE,-0.6
NE,UNCW,0.6
OKST,KSU,0.0
KSU,OKST,-0.0
JMU,GAST,-0.4
GAST,JMU,0.4
GMU,WM,0.4
WM,GMU,-0.4
GTWN,MARQ,-0.3
MARQ,GTWN,0.3
TEX,BAY,-0.6
BAY,TEX,0.6
PENN,LAS,0.3
LAS,PENN,-0.3
GB,DET,0.0
DET,GB,-0.0
MRSH,OHIO,0.0
OHIO,MRSH,-0.0
EMU,MASS,-0.6
MASS,EMU,0.6
OSU,ILL,0.1
ILL,OSU,-0.1
MIA,GT,0.0
GT,MIA,-0.0
INST,CREI,-0.3
CREI,INST,0.3
STAN,UCLA,-0.3
UCLA,STAN,0.3
RICE,HARV,-0.1
HARV,RICE,0.1
OKLA,WVU,-1.0
WVU,OKLA,1.0
TOWS,DREX,0.1
DREX,TOWS,-0.1
NCST,BC,-1.0
BC,NCST,1.0
YSU,L-IL,-0.6
L-IL,YSU,0.6
FSU,CLEM,-0.3
CLEM,FSU,0.3
SBON,CSU,0.0
CSU,SBON,-0.0
UTAH,ARIZ,0.0
ARIZ,UTAH,-0.0
PORT,PEPP,0.3
PEPP,PORT,-0.3
TTU,TCU,0.6
TCU,TTU,-0.6
LBSU,UCSB,-0.4
UCSB,LBSU,0.4
MILW,WRST,0.6
WRST,MILW,-0.6
UAB,DAY,0.6
DAY,UAB,-0.6
WKU,ARST,-0.3
ARST,WKU,0.3
MTU,USA,0.5
USA,MTU,-0.5
ULM,UNT,0.5
UNT,ULM,-0.5
LT,UTA,1.0
UTA,LT,-1.0
